Day,Starting time,Ending time,Category
19/09/2023,7:32,7:52,BreakFast
19/09/2023,12:36,13:01,Lunch
19/09/2023,17:04,17:14,Tea
19/09/2023,19:40,20:13,Dinner
20/09/2023,8:53,9:20,BreakFast
20/09/2023,12:30,12:55,Lunch
20/09/2023,17:15,17:26,Tea
20/09/2023,20:20,20:59,Dinner
21/09/2023,7:50,8:13,BreakFast
21/09/2023,13:42,14:13,Lunch
21/09/2023,17:33,17:52,Tea
21/09/2023,19:31,20:04,Dinner
22/09/2023,8:12,8:36,BreakFast
22/09/2023,13:04,13:31,Lunch
22/09/2023,17:40,18:04,Tea
22/09/2023,20:43,21:18,Dinner
23/09/2023,8:30,8:55,BreakFast
23/09/2023,13:50,14:20,Lunch
23/09/2023,17:20,17:32,Tea
23/09/2023,19:58,20:31,Dinner
24/09/2023,8:40,9:06,BreakFast
24/09/2023,12:30,12:56,Lunch
24/09/2023,17:25,17:42,Tea
24/09/2023,20:01,20:36,Dinner
25/09/2023,9:05,9:36,BreakFast
25/09/2023,12:59,13:26,Lunch
25/09/2023,17:40,18:05,Tea
25/09/2023,19:30,20:01,Dinner
26/09/2023,10:02,10:38,BreakFast
26/09/2023,13:58,14:26,Lunch
26/09/2023,17:45,18:10,Tea
26/09/2023,20:30,21:02,Dinner
27/09/2023,9:22,9:56,BreakFast
27/09/2023,13:33,14:02,Lunch
27/09/2023,17:05,17:15,Tea
27/09/2023,19:31,20:02,Dinner
28/09/2023,8:40,9:07,BreakFast
28/09/2023,14:01,14:29,Lunch
28/09/2023,17:13,17:24,Tea
28/09/2023,20:12,20:50,Dinner
29/09/2023,7:55,8:17,BreakFast
29/09/2023,12:33,12:58,Lunch
29/09/2023,17:32,17:45,Tea
29/09/2023,19:46,20:18,Dinner
30/09/2023,9:33,10:06,BreakFast
30/09/2023,13:21,13:50,Lunch
30/09/2023,17:40,18:01,Tea
30/09/2023,19:49,20:22,Dinner
01/10/2023,9:30,10:02,BreakFast
01/10/2023,13:04,13:31,Lunch
01/10/2023,17:40,18:04,Tea
01/10/2023,20:43,21:17,Dinner
02/10/2023,7:40,8:02,BreakFast
02/10/2023,12:44,13:11,Lunch
02/10/2023,17:20,17:33,Tea
02/10/2023,19:31,20:01,Dinner